"Label (Grouping)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!White","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Black or African American","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!American Indian and Alaska Native","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Asian","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Native Hawaiian and Other Pacific Islander","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!One race--!!Some other race","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Two or more races","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!Hispanic or Latino origin (of any race)","HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households!!White alone, not Hispanic or Latino","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","FAMILIES","FAMILIES!!Families","FAMILIES!!Families!!With own children of householder under 18 years","FAMILIES!!Families!!With no own children of householder under 18 years","FAMILIES!!Families!!Married-couple families","FAMILIES!!Families!!Married-couple families!!With own children under 18 years","FAMILIES!!Families!!Female householder, no spouse present","FAMILIES!!Families!!Female householder, no spouse present!!With own children under 18 years","FAMILIES!!Families!!Male householder, no spouse present","FAMILIES!!Families!!Male householder, no spouse present!!With own children under 18 years","FAMILY INCOME BY FAMILY SIZE","FAMILY INCOME BY FAMILY SIZE!!2-person families","FAMILY INCOME BY FAMILY SIZE!!3-person families","FAMILY INCOME BY FAMILY SIZE!!4-person families","FAMILY INCOME BY FAMILY SIZE!!5-person families","FAMILY INCOME BY FAMILY SIZE!!6-person families","FAMILY INCOME BY FAMILY SIZE!!7-or-more person families","FAMILY INCOME BY NUMBER OF EARNERS","FAMILY INCOME BY NUMBER OF EARNERS!!No earners","FAMILY INCOME BY NUMBER OF EARNERS!!1 earner","FAMILY INCOME BY NUMBER OF EARNERS!!2 earners","FAMILY INCOME BY NUMBER OF EARNERS!!3 or more earners","NONFAMILY HOUSEHOLDS","NONFAMILY HOUSEHOLDS!!Nonfamily households","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Female householder!!Not living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Living alone","NONFAMILY HOUSEHOLDS!!Nonfamily households!!Male householder!!Not living alone"
"        Estimate","","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-"
"ZCTA5 91001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,460","","6,932","2,889","72","698","12","1,202","655","2,671","5,730","","45","2,590","5,922","3,903","","9,221","3,059","6,162","6,627","2,249","2,131","702","463","108","","3,839","2,648","1,392","896","180","266","","979","2,662","4,345","1,235","","3,239","2,044","1,801","243","1,195","788","407"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","12,460","","55.6%","23.2%","0.6%","5.6%","0.1%","9.6%","5.3%","21.4%","46.0%","","0.4%","20.8%","47.5%","31.3%","","9,221","33.2%","66.8%","71.9%","24.4%","23.1%","7.6%","5.0%","1.2%","","41.6%","28.7%","15.1%","9.7%","2.0%","2.9%","","10.6%","28.9%","47.1%","13.4%","","3,239","63.1%","55.6%","7.5%","36.9%","24.3%","12.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","104,577","","123,902","72,431","112,368","123,750","-","83,750","97,250","90,694","136,458","","174,028","111,818","125,758","75,391","","118,461","131,406","108,698","138,355","158,125","72,216","63,929","97,188","174,167","","112,871","108,194","130,889","136,842","87,115","123,159","","56,036","85,682","145,446","129,911","","65,101","52,386","47,625","135,694","78,405","74,318","141,625"
"ZCTA5 91006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","10,433","","3,522","146","34","5,708","80","319","624","1,386","2,750","","120","2,516","4,716","3,081","","8,537","3,419","5,118","6,436","2,680","1,456","473","645","266","","3,334","1,951","2,082","808","195","167","","1,160","2,168","4,266","943","","1,896","1,021","724","297","875","636","239"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","10,433","","33.8%","1.4%","0.3%","54.7%","0.8%","3.1%","6.0%","13.3%","26.4%","","1.2%","24.1%","45.2%","29.5%","","8,537","40.0%","60.0%","75.4%","31.4%","17.1%","5.5%","7.6%","3.1%","","39.1%","22.9%","24.4%","9.5%","2.3%","2.0%","","13.6%","25.4%","50.0%","11.0%","","1,896","53.9%","38.2%","15.7%","46.1%","33.5%","12.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","105,011","","93,651","-","-","124,360","-","51,122","104,600","66,875","94,365","","22,115","98,278","144,571","78,869","","116,637","123,260","115,591","135,682","151,625","61,658","60,020","99,375","210,263","","101,815","101,206","159,643","106,591","239,250","180,764","","55,982","78,958","137,500","184,083","","58,455","53,456","47,000","83,015","59,422","44,521","72,604"
"ZCTA5 91007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","11,763","","3,918","266","14","6,570","57","497","441","1,381","3,365","","109","3,466","5,002","3,186","","8,950","3,435","5,515","6,057","2,490","2,238","794","655","151","","3,870","2,649","1,486","645","173","127","","1,217","3,188","3,726","819","","2,813","1,537","1,366","171","1,276","947","329"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","11,763","","33.3%","2.3%","0.1%","55.9%","0.5%","4.2%","3.7%","11.7%","28.6%","","0.9%","29.5%","42.5%","27.1%","","8,950","38.4%","61.6%","67.7%","27.8%","25.0%","8.9%","7.3%","1.7%","","43.2%","29.6%","16.6%","7.2%","1.9%","1.4%","","13.6%","35.6%","41.6%","9.2%","","2,813","54.6%","48.6%","6.1%","45.4%","33.7%","11.7%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","84,833","","72,500","56,486","-","94,491","-","79,132","83,681","76,339","73,487","","-","83,882","106,649","61,509","","101,783","107,238","98,068","116,476","130,486","70,612","51,452","118,242","106,406","","86,111","106,726","133,684","83,438","138,036","161,813","","34,308","78,856","126,977","153,281","","48,977","48,266","47,500","88,527","57,540","48,850","58,345"
"ZCTA5 91008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","444","","314","6","0","115","0","5","4","32","290","","2","41","184","217","","274","65","209","222","49","42","16","10","0","","153","62","35","11","9","4","","40","134","61","39","","170","77","77","0","93","86","7"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","444","","70.7%","1.4%","0.0%","25.9%","0.0%","1.1%","0.9%","7.2%","65.3%","","0.5%","9.2%","41.4%","48.9%","","274","23.7%","76.3%","81.0%","17.9%","15.3%","5.8%","3.6%","0.0%","","55.8%","22.6%","12.8%","4.0%","3.3%","1.5%","","14.6%","48.9%","22.3%","14.2%","","170","45.3%","45.3%","0.0%","54.7%","50.6%","4.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","108,846","","107,500","-","-","200,208","-","-","-","105,536","108,269","","-","-","200,278","100,391","","169,000","204,063","163,393","180,417","235,972","-","2,500-","-","-","","124,063","250,000+","236,250","-","-","-","","58,750","201,111","181,042","198,750","","91,667","66,696","66,696","-","108,045","108,013","-"
"ZCTA5 91010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","7,963","","4,286","579","101","1,398","0","1,130","469","3,642","2,199","","106","2,175","3,238","2,444","","5,974","1,881","4,093","3,989","1,318","1,418","356","567","207","","2,109","1,512","965","689","444","255","","641","1,642","2,263","1,428","","1,989","1,204","1,045","159","785","571","214"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","7,963","","53.8%","7.3%","1.3%","17.6%","0.0%","14.2%","5.9%","45.7%","27.6%","","1.3%","27.3%","40.7%","30.7%","","5,974","31.5%","68.5%","66.8%","22.1%","23.7%","6.0%","9.5%","3.5%","","35.3%","25.3%","16.2%","11.5%","7.4%","4.3%","","10.7%","27.5%","37.9%","23.9%","","1,989","60.5%","52.5%","8.0%","39.5%","28.7%","10.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","83,051","","74,557","61,789","114,538","98,167","-","92,500","73,906","83,315","81,067","","41,458","86,726","100,000","56,685","","97,041","95,531","98,045","108,822","120,978","61,087","33,484","54,425","64,427","","90,592","86,250","109,801","96,343","114,375","128,144","","41,250","65,066","107,478","115,272","","41,315","33,750","23,795","-","53,628","40,559","84,063"
"ZCTA5 91011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,329","","4,480","18","0","1,553","0","88","190","430","4,207","","37","1,135","3,110","2,047","","5,421","2,600","2,821","4,950","2,363","365","196","106","41","","1,948","932","1,689","754","69","29","","696","1,580","2,591","554","","908","569","467","102","339","303","36"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","6,329","","70.8%","0.3%","0.0%","24.5%","0.0%","1.4%","3.0%","6.8%","66.5%","","0.6%","17.9%","49.1%","32.3%","","5,421","48.0%","52.0%","91.3%","43.6%","6.7%","3.6%","2.0%","0.8%","","35.9%","17.2%","31.2%","13.9%","1.3%","0.5%","","12.8%","29.1%","47.8%","10.2%","","908","62.7%","51.4%","11.2%","37.3%","33.4%","4.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","170,571","","163,973","-","-","194,453","-","136,607","250,000+","130,662","168,708","","-","239,219","212,885","116,339","","193,776","217,727","172,201","211,795","235,139","87,656","80,500","161,210","-","","168,250","206,250","213,029","194,844","250,000+","250,000+","","113,167","151,822","250,000+","250,000+","","64,219","49,728","48,967","-","88,516","87,578","-"
"ZCTA5 91016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","14,593","","9,386","908","86","1,894","73","1,123","1,123","4,782","6,533","","241","4,529","6,210","3,613","","10,043","4,080","5,963","6,737","2,920","2,212","790","1,094","370","","3,917","2,540","2,121","862","354","249","","1,073","2,907","4,480","1,583","","4,550","2,577","1,953","624","1,973","1,554","419"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","14,593","","64.3%","6.2%","0.6%","13.0%","0.5%","7.7%","7.7%","32.8%","44.8%","","1.7%","31.0%","42.6%","24.8%","","10,043","40.6%","59.4%","67.1%","29.1%","22.0%","7.9%","10.9%","3.7%","","39.0%","25.3%","21.1%","8.6%","3.5%","2.5%","","10.7%","28.9%","44.6%","15.8%","","4,550","56.6%","42.9%","13.7%","43.4%","34.2%","9.2%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","82,801","","83,259","56,578","47,589","95,618","104,917","61,361","107,986","79,688","87,284","","52,813","95,112","94,538","43,902","","92,162","92,303","91,780","105,654","109,013","68,100","68,400","70,484","71,818","","76,082","93,750","123,083","116,810","87,941","105,625","","45,521","67,788","106,957","130,454","","49,776","41,723","34,109","111,736","60,407","52,816","121,094"
"ZCTA5 91020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,514","","2,620","16","13","605","13","121","126","550","2,252","","44","1,218","1,228","1,024","","1,961","1,045","916","1,375","665","464","287","122","93","","678","521","573","132","3","54","","271","562","875","253","","1,553","853","762","91","700","513","187"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","3,514","","74.6%","0.5%","0.4%","17.2%","0.4%","3.4%","3.6%","15.7%","64.1%","","1.3%","34.7%","34.9%","29.1%","","1,961","53.3%","46.7%","70.1%","33.9%","23.7%","14.6%","6.2%","4.7%","","34.6%","26.6%","29.2%","6.7%","0.2%","2.8%","","13.8%","28.7%","44.6%","12.9%","","1,553","54.9%","49.1%","5.9%","45.1%","33.0%","12.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","65,506","","52,908","-","-","106,696","-","68,477","66,184","54,740","49,955","","-","95,161","68,382","37,679","","99,040","94,464","102,839","104,767","121,141","68,125","54,677","106,667","105,804","","67,115","82,721","109,375","98,958","-","-","","-","70,714","108,802","165,801","","46,736","41,213","40,075","71,838","49,526","41,947","83,445"
"ZCTA5 91024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,679","","3,766","127","15","578","0","57","136","526","3,305","","25","939","2,349","1,366","","2,738","1,121","1,617","2,117","982","449","85","172","54","","1,206","738","642","118","10","24","","445","746","1,248","299","","1,941","1,290","1,214","76","651","496","155"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","4,679","","80.5%","2.7%","0.3%","12.4%","0.0%","1.2%","2.9%","11.2%","70.6%","","0.5%","20.1%","50.2%","29.2%","","2,738","40.9%","59.1%","77.3%","35.9%","16.4%","3.1%","6.3%","2.0%","","44.0%","27.0%","23.4%","4.3%","0.4%","0.9%","","16.3%","27.2%","45.6%","10.9%","","1,941","66.5%","62.5%","3.9%","33.5%","25.6%","8.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","106,719","","102,500","121,498","-","120,089","-","129,732","146,600","81,471","103,737","","-","155,893","120,900","68,657","","150,267","178,427","120,743","174,494","192,063","103,938","-","115,400","-","","108,125","153,000","170,500","-","-","-","","51,165","111,875","197,344","122,017","","71,310","69,052","63,864","135,882","104,879","104,516","156,023"
"ZCTA5 91030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","9,671","","5,562","494","37","2,854","0","412","312","1,705","4,432","","82","3,498","4,246","1,845","","6,368","3,247","3,121","4,868","2,454","1,056","558","444","235","","2,363","1,883","1,603","407","67","45","","481","1,849","3,239","799","","3,303","1,813","1,418","395","1,490","1,191","299"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","9,671","","57.5%","5.1%","0.4%","29.5%","0.0%","4.3%","3.2%","17.6%","45.8%","","0.8%","36.2%","43.9%","19.1%","","6,368","51.0%","49.0%","76.4%","38.5%","16.6%","8.8%","7.0%","3.7%","","37.1%","29.6%","25.2%","6.4%","1.1%","0.7%","","7.6%","29.0%","50.9%","12.5%","","3,303","54.9%","42.9%","12.0%","45.1%","36.1%","9.1%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","109,927","","124,018","98,623","-","127,727","-","91,111","100,172","101,589","128,397","","56,591","99,809","145,938","72,176","","143,519","153,472","133,750","175,986","204,318","75,446","75,357","69,663","90,919","","99,750","147,153","208,922","250,000+","205,875","-","","-","87,318","185,031","195,938","","79,382","68,425","63,116","95,564","89,077","89,529","86,420"
"ZCTA5 91040","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","7,482","","6,191","34","51","670","0","336","200","1,282","5,378","","89","1,595","3,754","2,044","","5,314","1,658","3,656","3,789","1,398","900","129","625","131","","2,391","1,433","966","297","150","77","","635","1,416","2,411","852","","2,168","1,143","944","199","1,025","877","148"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","7,482","","82.7%","0.5%","0.7%","9.0%","0.0%","4.5%","2.7%","17.1%","71.9%","","1.2%","21.3%","50.2%","27.3%","","5,314","31.2%","68.8%","71.3%","26.3%","16.9%","2.4%","11.8%","2.5%","","45.0%","27.0%","18.2%","5.6%","2.8%","1.4%","","11.9%","26.6%","45.4%","16.0%","","2,168","52.7%","43.5%","9.2%","47.3%","40.5%","6.8%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","92,280","","87,317","-","250,000+","125,313","-","64,468","130,833","72,527","93,406","","-","123,839","102,794","47,500","","108,912","121,667","102,159","120,980","142,677","73,587","-","64,340","53,836","","88,345","108,523","142,911","180,495","143,200","183,542","","35,536","76,170","130,518","125,750","","47,500","43,384","41,627","103,036","59,432","42,279","105,893"
"ZCTA5 91042","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","10,079","","7,934","193","0","791","0","600","561","1,820","6,994","","72","2,623","4,719","2,665","","6,990","2,390","4,600","5,147","1,715","1,207","422","636","253","","3,125","1,814","1,425","421","205","0","","1,085","2,025","3,011","869","","3,089","1,455","1,334","121","1,634","1,280","354"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","10,079","","78.7%","1.9%","0.0%","7.8%","0.0%","6.0%","5.6%","18.1%","69.4%","","0.7%","26.0%","46.8%","26.4%","","6,990","34.2%","65.8%","73.6%","24.5%","17.3%","6.0%","9.1%","3.6%","","44.7%","26.0%","20.4%","6.0%","2.9%","0.0%","","15.5%","29.0%","43.1%","12.4%","","3,089","47.1%","43.2%","3.9%","52.9%","41.4%","11.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","66,453","","61,971","78,674","-","112,546","-","63,000","80,625","64,714","60,766","","-","76,315","73,032","42,725","","78,233","79,453","77,768","85,431","101,075","66,250","22,386","54,278","75,363","","69,172","76,676","85,426","122,644","128,558","-","","19,427","63,977","98,625","122,578","","38,457","33,449","30,577","63,750","43,074","38,092","70,679"
"ZCTA5 91046","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","106","","106","0","0","0","0","0","0","0","106","","0","0","4","102","","77","0","77","77","0","0","0","0","0","","77","0","0","0","0","0","","73","4","0","0","","29","14","14","0","15","15","0"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","106","","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","100.0%","","0.0%","0.0%","3.8%","96.2%","","77","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","94.8%","5.2%","0.0%","0.0%","","29","48.3%","48.3%","0.0%","51.7%","51.7%","0.0%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-","-","-","","-","-","-","-","-","-","","-","-","-","-","","-","-","-","-","-","-","-"
"ZCTA5 91101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","11,463","","5,914","573","65","3,355","15","755","786","2,240","4,917","","541","5,706","2,926","2,290","","4,163","1,388","2,775","3,303","1,084","634","213","226","91","","2,636","843","452","193","9","30","","519","1,294","2,143","207","","7,300","4,259","3,547","712","3,041","2,347","694"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","11,463","","51.6%","5.0%","0.6%","29.3%","0.1%","6.6%","6.9%","19.5%","42.9%","","4.7%","49.8%","25.5%","20.0%","","4,163","33.3%","66.7%","79.3%","26.0%","15.2%","5.1%","5.4%","2.2%","","63.3%","20.2%","10.9%","4.6%","0.2%","0.7%","","12.5%","31.1%","51.5%","5.0%","","7,300","58.3%","48.6%","9.8%","41.7%","32.2%","9.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","72,144","","82,869","36,150","-","65,427","-","53,950","95,086","72,619","82,938","","25,987","93,389","71,789","24,755","","96,374","82,696","104,020","116,169","91,250","58,169","58,307","60,366","-","","102,386","91,283","97,368","-","-","-","","-","67,500","138,125","103,750","","57,931","52,038","48,085","81,250","62,319","52,705","110,786"
"ZCTA5 91103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","8,485","","3,263","1,647","13","993","20","2,010","539","3,242","2,339","","211","2,632","3,124","2,518","","5,516","2,173","3,343","3,515","1,439","1,459","542","542","192","","1,991","1,138","1,182","743","251","211","","588","1,791","2,052","1,085","","2,969","1,657","1,387","270","1,312","908","404"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","8,485","","38.5%","19.4%","0.2%","11.7%","0.2%","23.7%","6.4%","38.2%","27.6%","","2.5%","31.0%","36.8%","29.7%","","5,516","39.4%","60.6%","63.7%","26.1%","26.5%","9.8%","9.8%","3.5%","","36.1%","20.6%","21.4%","13.5%","4.6%","3.8%","","10.7%","32.5%","37.2%","19.7%","","2,969","55.8%","46.7%","9.1%","44.2%","30.6%","13.6%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","71,600","","94,960","48,567","-","76,495","-","59,000","71,367","54,728","115,855","","27,063","79,472","79,375","48,819","","79,925","65,129","93,202","108,565","82,031","37,824","28,438","68,182","-","","100,179","77,500","72,625","92,831","48,958","-","","24,424","44,458","113,241","94,102","","35,337","29,583","20,337","113,696","46,842","29,537","91,500"
"ZCTA5 91104","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,630","","8,222","1,148","38","1,331","48","1,933","910","4,129","6,682","","183","4,094","5,707","3,646","","8,928","3,775","5,153","6,288","2,691","1,824","664","816","420","","3,497","2,551","1,878","549","173","280","","1,026","2,543","4,273","1,086","","4,702","2,873","2,407","466","1,829","1,383","446"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","13,630","","60.3%","8.4%","0.3%","9.8%","0.4%","14.2%","6.7%","30.3%","49.0%","","1.3%","30.0%","41.9%","26.7%","","8,928","42.3%","57.7%","70.4%","30.1%","20.4%","7.4%","9.1%","4.7%","","39.2%","28.6%","21.0%","6.1%","1.9%","3.1%","","11.5%","28.5%","47.9%","12.2%","","4,702","61.1%","51.2%","9.9%","38.9%","29.4%","9.5%"
"    Median income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","78,285","","90,788","63,309","36,923","115,284","-","50,236","-","57,485","95,776","","38,859","89,398","97,406","46,433","","95,034","95,381","94,759","118,277","124,335","53,520","40,729","52,700","42,574","","94,496","93,924","97,381","117,188","101,125","70,870","","21,993","58,625","132,924","130,000","","52,634","55,272","45,304","91,250","50,221","37,011","72,917"
"ZCTA5 91105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","5,410","","3,908","180","10","959","0","131","222","634","3,476","","155","1,588","1,739","1,928","","3,076","1,000","2,076","2,661","816","207","75","208","109","","1,893","536","373","209","24","41","","446","1,019","1,494","117","","2,334","1,433","1,241","192","901","551","350"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
